GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US54758,54758,ZCTA5 54758,4521,209,4364,196,14,11,56,32,16,13,0,9,40,58,31,23,0,9,31,23
8600000US54759,54759,ZCTA5 54759,1450,133,1424,131,6,8,0,9,10,7,0,9,0,9,10,9,5,7,5,6
8600000US54760,54760,ZCTA5 54760,266,70,266,70,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54761,54761,ZCTA5 54761,1179,113,1153,113,0,9,18,29,0,9,1,2,6,10,1,4,0,9,1,4
8600000US54762,54762,ZCTA5 54762,1281,119,1251,116,3,4,0,9,0,9,0,9,14,22,13,13,2,4,11,11
8600000US54763,54763,ZCTA5 54763,1187,138,1178,138,0,9,0,9,2,3,0,9,5,6,2,3,0,9,2,3
8600000US54765,54765,ZCTA5 54765,39,49,39,49,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54766,54766,ZCTA5 54766,1707,161,1660,158,12,12,4,10,4,7,0,9,11,14,16,15,0,9,16,15
8600000US54767,54767,ZCTA5 54767,3765,230,3683,231,12,12,0,9,25,46,0,9,5,7,40,27,7,8,33,22
8600000US54768,54768,ZCTA5 54768,6159,219,5269,248,417,93,42,32,33,22,0,12,86,66,312,119,0,12,312,119
8600000US54769,54769,ZCTA5 54769,664,111,646,110,9,10,4,4,3,4,0,9,0,9,2,3,0,9,2,3
8600000US54770,54770,ZCTA5 54770,2116,169,2021,172,2,6,10,12,24,17,0,9,38,41,21,21,18,20,3,4
8600000US54771,54771,ZCTA5 54771,4245,207,4190,210,5,4,0,9,2,3,0,9,1,2,47,32,0,9,47,32
8600000US54772,54772,ZCTA5 54772,1010,127,967,121,0,9,2,3,6,11,0,9,9,10,26,27,5,5,21,26
8600000US54773,54773,ZCTA5 54773,3428,213,3321,215,29,17,12,13,5,6,0,9,30,46,31,22,0,9,31,22
8600000US54801,54801,ZCTA5 54801,6662,252,6350,250,60,22,67,45,48,23,0,12,3,3,134,49,0,12,134,49
8600000US54805,54805,ZCTA5 54805,1369,145,1273,130,16,22,46,30,14,16,0,9,8,13,12,11,2,5,10,9
8600000US54806,54806,ZCTA5 54806,11569,169,9646,167,55,50,1359,151,56,39,0,14,48,35,405,130,1,2,404,130
8600000US54810,54810,ZCTA5 54810,2152,187,2080,183,14,9,42,23,10,12,0,9,0,9,6,8,3,8,3,4
8600000US54812,54812,ZCTA5 54812,5610,188,5052,192,454,118,11,8,45,52,0,12,27,42,21,18,0,12,21,18
8600000US54813,54813,ZCTA5 54813,615,107,606,103,0,9,0,9,0,9,0,9,0,9,9,19,0,9,9,19
8600000US54814,54814,ZCTA5 54814,2604,134,1205,111,58,24,1198,96,47,23,0,9,2,4,94,29,10,13,84,27
8600000US54817,54817,ZCTA5 54817,2116,146,2005,136,0,9,22,16,10,9,0,9,5,7,74,44,21,35,53,28
8600000US54819,54819,ZCTA5 54819,2468,161,2399,156,0,9,7,7,0,9,0,9,0,9,62,34,0,9,62,34
8600000US54820,54820,ZCTA5 54820,761,99,732,98,4,6,2,3,0,9,0,9,0,9,23,22,0,9,23,22
8600000US54821,54821,ZCTA5 54821,1261,111,1192,90,12,14,50,53,0,9,0,9,0,9,7,5,0,9,7,5
8600000US54822,54822,ZCTA5 54822,4629,224,4489,241,10,18,8,10,59,42,0,9,0,9,63,36,0,9,63,36
8600000US54824,54824,ZCTA5 54824,2357,246,2228,240,22,21,14,17,10,14,0,9,26,37,57,42,0,9,57,42
8600000US54826,54826,ZCTA5 54826,734,100,707,89,4,8,2,4,2,3,0,9,0,9,19,23,3,4,16,22
8600000US54827,54827,ZCTA5 54827,246,64,239,65,0,9,2,4,0,9,0,9,5,7,0,9,0,9,0,9
8600000US54828,54828,ZCTA5 54828,655,80,296,53,3,6,335,69,0,9,0,9,0,9,21,12,0,9,21,12
8600000US54829,54829,ZCTA5 54829,5135,300,4825,298,4,11,148,56,0,12,0,12,95,138,63,33,11,19,52,29
