zip code,Total,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Assoc Ratio,Bachelor Ratio,Master Ratio,Prof Degree Ratio,Doctor Ratio
53913,14177,1479,2465,763,211,121,0.104323905,0.173873175,0.053819567,0.014883262,0.008534951
53916,15829,1781,1968,745,173,106,0.112515004,0.124328764,0.047065513,0.010929307,0.00669657
53919,1848,195,244,62,4,4,0.105519481,0.132034632,0.033549784,0.002164502,0.002164502
53920,321,40,41,5,0,0,0.124610592,0.127725857,0.015576324,0,0
53922,656,93,67,8,4,0,0.141768293,0.102134146,0.012195122,0.006097561,0
53923,1298,119,135,42,7,4,0.091679507,0.104006163,0.032357473,0.005392912,0.003081664
53924,1001,96,86,32,12,0,0.095904096,0.085914086,0.031968032,0.011988012,0
53925,5488,644,1104,297,101,84,0.117346939,0.201166181,0.054118076,0.01840379,0.015306122
53926,883,83,66,9,2,2,0.093997735,0.074745187,0.010192525,0.002265006,0.002265006
53928,78,12,5,0,0,0,0.153846154,0.064102564,0,0,0
53929,1865,162,219,64,12,7,0.086863271,0.117426273,0.034316354,0.006434316,0.003753351
53930,932,107,83,17,4,7,0.114806867,0.089055794,0.018240343,0.004291845,0.00751073
53931,160,14,23,2,0,0,0.0875,0.14375,0.0125,0,0
53932,1669,273,264,106,14,4,0.163571001,0.15817855,0.063511084,0.008388256,0.002396645
53933,3507,272,384,78,26,3,0.077559167,0.109495295,0.022241232,0.007413744,0.000855432
53934,3413,275,252,115,22,6,0.080574275,0.073835335,0.033694697,0.006445942,0.001757984
53935,207,28,28,5,0,0,0.1352657,0.1352657,0.024154589,0,0
53936,2055,165,89,23,11,0,0.080291971,0.043309002,0.011192214,0.005352798,0
53937,652,71,74,18,2,3,0.108895706,0.113496933,0.027607362,0.003067485,0.004601227
